year_month,date,code,close,peTTM,turn,tradestatus,pctChg,PE_inv,market_cap,roe,div_ratio,profit_growth,Quality,return,excess_return,next_excess_return,mkt_excess,SMB,year_month_str
2016-06,2016-06-30,sh.603993,4.15,117.248311,0.652884,1,-2.1226,0.0085289075081004,880340372904.7454,0.1261010317555383,0.0383535020130391,0.2031699297016569,0.00098261433434,0.0751295336787565,0.0736295336787565,-0.0255963855421687,0.002953791654438,880340372904.7454,2016-06
2016-07,2016-07-29,sh.603993,4.05,114.423051,0.264354,1,-1.2195,0.0087394977782929,898380179594.711,0.0728399249811831,0.0596198480823498,0.2157318996344628,0.0009368600556608,-0.0240963855421687,-0.0255963855421687,-0.0039691358024691,0.015475661573604,898380179594.711,2016-07
2016-08,2016-08-31,sh.603993,4.04,84.223159,0.241808,1,1.2531,0.0118732188613348,841503168991.1226,0.0903596956346293,0.0375527914357328,0.2751677315071419,0.0009337153276133,-0.0024691358024691,-0.0039691358024691,-0.0831831683168316,0.034129727140727,841503168991.1226,2016-08
2016-09,2016-09-30,sh.603993,3.71,77.343545,0.101771,1,0.0,0.0129293271985399,900190203338.5029,0.0330241038217481,0.0256188282395078,0.241328305461589,0.0002041731204741,-0.0816831683168316,-0.0831831683168316,0.0335404312668464,-0.0276831909410852,900190203338.5029,2016-09
2016-10,2016-10-31,sh.603993,3.84,92.145576,0.274245,1,0.52356,0.0108523929569879,901411402802.5627,0.0574191379906645,0.0298679217903327,0.1557457384942608,0.0002671024343308,0.0350404312668464,0.0335404312668464,0.0583958333333334,0.0303796899394051,901411402802.5627,2016-10
2016-11,2016-11-30,sh.603993,4.07,97.664712,0.693807,1,-2.398079,0.0102391127718679,934816437130.2004,0.1483062662765155,0.0295231246372776,0.6282905325704186,0.00275094771952,0.0598958333333334,0.0583958333333334,-0.0874950859950859,0.0467317000011611,934816437130.2004,2016-11
2016-12,2016-12-30,sh.603993,3.72,89.266027,0.151838,1,-0.534759,0.011202470117775,920389016060.6075,0.1016431686990106,0.0196121735581891,-0.1069937492603908,-0.0002132859903156,-0.0859950859950859,-0.0874950859950859,0.1087150537634407,-0.0465447595317464,920389016060.6075,2016-12
2017-01,2017-01-26,sh.603993,4.13,99.104487,0.686429,1,1.975307,0.0100903604899342,855686742754.501,0.080861079914522,0.0626377769674044,0.0327165443022883,0.0001657079322522,0.1102150537634407,0.1087150537634407,0.2793716707021792,0.0163915897703242,855686742754.501,2017-01
2017-02,2017-02-28,sh.603993,5.29,126.940129,1.886159,1,2.123555,0.0078777295082156,959570534548.7518,0.0941755823684482,0.0359259073100733,0.3434668729356334,0.0011620663237552,0.2808716707021792,0.2793716707021792,-0.111140831758034,0.0246356953069258,959570534548.7518,2017-02
2017-03,2017-03-31,sh.603993,4.71,79.694862,1.499193,1,5.133929,0.0125478603626918,919798375410.2114,0.124460591233215,0.0318947695166581,0.1785172584191148,0.0007086495837684,-0.109640831758034,-0.111140831758034,-0.0673174097664542,-0.0074286190441963,919798375410.2114,2017-03
